rank,ticker,company,sector,composite_score,value_pct,quality_pct,growth_pct,pe_ratio,pb_ratio,ev_ebitda,p_fcf,roe,roic,gross_margin,debt_to_equity,revenue_cagr,eps_cagr,fcf_cagr,market_cap,price
1,NVDA,Nvidia,Information Technology,100.0,13.518886679920477,95.82504970178927,100.0,31.952524,25.855019,30.263,52.27472844056436,0.7633333969089534,0.7097668771556097,0.7106808435754708,0.07018748450344262,0.4685532350721122,1.8801303903232482,1.4869975372222097,5053711646720,208.65
2,DELL,Dell Technologies,Information Technology,99.80119284294234,99.20477137176938,61.23260437375746,96.62027833001989,33.33678,-147.57788089999997,20.74,31.635438757717495,0.1866106622683179,0.3981816623821765,0.19999471542567246,0.0,0.035349838884853435,0.388859258627138,1.4780522476860227,270546272256,418.71
3,PGR,Progressive Corporation,Financials,99.60238568588468,90.85487077534792,86.87872763419483,99.40357852882704,10.548322,3.780099,8.402,7.019571914418605,0.37291824687530917,0.308823021970616,0.5345741225130116,0.2274511097186954,0.2090378284670047,1.5353179173781881,0.3791380935865807,120736636928,207.38
4,IBKR,Interactive Brokers,Financials,99.40357852882704,45.32803180914513,98.80715705765407,97.4155069582505,41.55365,7.7227407,11.742,10.431163317073171,0.18347939586052583,0.9940380067412512,0.8976716885149677,0.0035427932127540555,0.34597874218853675,0.33288874065838137,0.5924065256034745,164228235264,96.82
5,CRM,Salesforce,Information Technology,99.20477137176938,75.94433399602386,76.1431411530815,99.00596421471172,17.395132,3.5913017,11.916,8.536888774336898,0.1260863684014744,0.10210650664579438,0.7767609873570138,0.29041966791789253,0.09820006113830493,1.8801303903232482,0.3164236393248525,122948272128,150.12
6,PODD,Insulet Corporation,Health Care,99.00596421471172,36.381709741550694,65.20874751491054,99.80119284294234,32.469624,7.389663,16.876,27.509893158045156,0.16307001913812447,0.18023964767787692,0.7163324840293933,0.6264106117600475,0.27541480232743965,1.8801303903232482,0.04105956570895941,9625711616,138.97
7,CLX,Clorox,Consumer Staples,98.80715705765407,99.80119284294234,96.81908548707754,14.115308151093439,14.731707,-147.57788089999997,11.31,14.396154954007883,2.048417719204871,0.3036058009228741,0.45228040540540543,8.97196261682243,-0.00014072614877613798,-0.2612183388091882,0.12463162432326258,10955473920,90.6
8,TTD,Trade Desk (The),Communication Services,98.60834990059642,74.35387673956262,86.67992047713717,97.21669980119285,20.477274,3.4593973,10.552,10.819677213847998,0.178435681018004,0.20576977882438632,0.7862547319254604,0.1756285544425173,0.2244193656887754,1.0150381586419561,0.19670910627280502,8471352832,18.02
9,INCY,Incyte,Health Care,98.40954274353876,77.53479125248509,97.61431411530815,89.06560636182903,14.641244,3.6862133,10.803,15.575313006390495,0.24898993280668055,0.6240705463744619,0.907236183128362,0.007820449356533303,0.14839595478338863,0.6156160063417289,0.1422764750896166,20709419008,103.66
10,MCD,McDonald's,Consumer Discretionary,98.2107355864811,99.60238568588468,83.69781312127238,47.31610337972167,22.267107,-147.57788089999997,16.52,26.705767240745896,0.3122612318377413,0.1886777033492823,0.5740747628789288,0.0,0.050637859467043134,0.12782305435705021,0.0940177544032661,191907643392,270.1
11,DECK,Deckers Brands,Consumer Discretionary,98.01192842942345,76.1431411530815,97.8131212723658,84.49304174950298,15.038462,5.9119673,9.808,13.361191252966286,0.40968772278225885,0.9940380067412512,0.5770385958654284,0.15009933438361875,0.1469097911350663,0.2955462717849462,0.33967181674798863,14661662720,105.57
12,MA,Mastercard,Financials,97.8131212723658,11.133200795228628,100.0,74.35387673956262,28.014465,63.897835,20.512,26.028972562039797,1.9345999741501874,0.9428606765196957,0.7788722515324327,2.455732195941579,0.1382198495222513,0.17359895932136804,0.17623427286242377,427734106112,484.09
13,GE,GE Aerospace,Industrials,97.61431411530815,12.524850894632205,71.57057654075547,99.20477137176938,44.05955,20.518866,34.565,51.079280775330396,0.4660277346468919,0.3198644510828977,0.3148620652055392,1.09733897306848,0.1631543559703441,1.8801303903232482,0.11395514846114008,371039895552,355.12
14,MTD,Mettler Toledo,Health Care,97.4155069582505,99.40357852882704,91.05367793240556,27.435387673956264,27.332,-147.57788089999997,21.1,27.71827626059332,0.12856662798670312,0.4281841323058058,0.5937429449987446,0.0,0.008991856613079108,0.03064056292120587,0.04775050536745962,23523059712,1164.07
15,APP,AppLovin,Information Technology,97.21669980119285,7.5546719681908545,99.20477137176938,96.81908548707754,40.816525,66.78857,32.59,39.99381682347666,1.5617226261095971,0.9940380067412512,0.8786399662671873,1.6605561231683945,0.2483811324958407,0.05555727406442923,1.1228988372325643,157686661120,469.39
16,APO,Apollo Global Management,Financials,97.01789264413519,23.45924453280318,92.6441351888668,95.82504970178927,84.506256,4.2014174,11.742,10.757788440518906,0.1496079859474744,0.3187592327512167,0.907236183128362,0.5725547320166231,0.42964764687572576,0.1381684374742409,0.26418366383029745,77950935040,135.21
17,UBER,Uber,Industrials,96.81908548707754,50.29821073558648,68.98608349900597,97.01789264413519,17.724566,5.8770776,21.765,14.893254024377752,0.3717687955327096,0.15397301349325337,0.39754311090604993,0.44672904108575867,0.17730580736694201,0.056732835871963094,1.4869975372222097,145402839040,71.43
